time,date,session,direction,model,score,grade,should_trade,kill_switches,price,price_zone,sweep,sweep_fresh,rsi_m15,cot_pct,atr,news_blocked,news_reason,result,pnl_pips,bars_held,exit_time,tp1_hit,tp2_hit,entry,sl,sl_pips,tp1,tp2,tp3,tag
2026-03-05 21:55:00,2026-03-05,new_york,buy,ob_fvg_stack,74.1,STRONG,True,[],5065.14,discount,bullish,True,38.68,80.7,33.48918,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-10 10:00:00,2026-03-10,london,buy,choch_reversal,80.4,STRONG,True,[],5181.48,discount,bullish,True,62.75,80.7,24.87429,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-10 10:05:00,2026-03-10,london,buy,choch_reversal,81.2,STRONG,True,[],5178.76,discount,bullish,True,61.41,80.7,24.53684,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-10 10:10:00,2026-03-10,london,buy,choch_reversal,81.4,STRONG,True,[],5182.05,discount,bullish,True,61.41,80.7,24.53684,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-10 10:15:00,2026-03-10,london,buy,choch_reversal,81.4,STRONG,True,[],5179.4,discount,bullish,True,61.41,80.7,24.53684,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-10 10:20:00,2026-03-10,london,buy,choch_reversal,80.4,STRONG,True,[],5178.27,discount,bullish,True,64.28,80.7,24.53684,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-10 10:25:00,2026-03-10,london,buy,choch_reversal,80.2,STRONG,True,[],5181.31,discount,bullish,True,64.28,80.7,24.53684,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-10 10:30:00,2026-03-10,london,buy,choch_reversal,82.4,STRONG,True,[],5186.21,discount,bullish,True,64.28,80.7,24.53684,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-10 10:35:00,2026-03-10,london,buy,choch_reversal,82.4,STRONG,True,[],5186.81,discount,bullish,True,67.68,80.7,24.53684,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-10 10:40:00,2026-03-10,london,buy,choch_reversal,82.4,STRONG,True,[],5191.48,discount,bullish,True,67.68,80.7,24.53684,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-10 10:45:00,2026-03-10,london,buy,choch_reversal,82.4,STRONG,True,[],5192.28,discount,bullish,True,67.68,80.7,24.53684,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-10 10:50:00,2026-03-10,london,buy,choch_reversal,82.4,STRONG,True,[],5191.22,discount,bullish,True,60.57,80.7,24.53684,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-10 10:55:00,2026-03-10,london,buy,choch_reversal,82.4,STRONG,True,[],5186.21,discount,bullish,True,60.57,80.7,24.53684,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-10 11:00:00,2026-03-10,london,buy,fvg_continuation,80.2,STRONG,True,[],5183.56,discount,bullish,True,60.57,80.7,24.53684,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-10 11:05:00,2026-03-10,london,buy,fvg_continuation,80.4,STRONG,True,[],5185.85,discount,bullish,True,63.48,80.7,23.40921,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-10 11:10:00,2026-03-10,london,buy,fvg_continuation,80.2,STRONG,True,[],5186.74,discount,bullish,True,63.48,80.7,23.40921,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-10 11:15:00,2026-03-10,london,buy,fvg_continuation,80.4,STRONG,True,[],5185.49,discount,bullish,True,63.48,80.7,23.40921,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-10 11:20:00,2026-03-10,london,buy,fvg_continuation,80.2,STRONG,True,[],5182.81,discount,bullish,True,62.4,80.7,23.40921,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-10 11:25:00,2026-03-10,london,buy,fvg_continuation,80.2,STRONG,True,[],5185.22,discount,bullish,True,62.4,80.7,23.40921,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-10 11:30:00,2026-03-10,london,buy,fvg_continuation,82.4,STRONG,True,[],5185.99,discount,bullish,True,62.4,80.7,23.40921,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-10 11:35:00,2026-03-10,london,buy,fvg_continuation,82.2,STRONG,True,[],5184.11,discount,bullish,True,62.91,80.7,23.40921,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-10 11:40:00,2026-03-10,london,buy,fvg_continuation,82.2,STRONG,True,[],5185.26,discount,bullish,True,62.91,80.7,23.40921,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-10 11:45:00,2026-03-10,london,buy,fvg_continuation,82.4,STRONG,True,[],5186.99,discount,bullish,True,62.91,80.7,23.40921,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-10 11:50:00,2026-03-10,london,buy,fvg_continuation,82.2,STRONG,True,[],5184.85,discount,bullish,True,57.25,80.7,23.40921,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-10 11:55:00,2026-03-10,london,buy,fvg_continuation,82.2,STRONG,True,[],5184.62,discount,bullish,True,57.25,80.7,23.40921,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-10 12:00:00,2026-03-10,london,buy,fvg_continuation,82.2,STRONG,True,[],5180.15,discount,bullish,True,57.25,80.7,23.40921,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-10 12:05:00,2026-03-10,london,buy,fvg_continuation,82.4,STRONG,True,[],5179.22,discount,bullish,True,55.97,80.7,23.69784,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-10 12:10:00,2026-03-10,london,buy,fvg_continuation,82.2,STRONG,True,[],5180.93,discount,bullish,True,55.97,80.7,23.69784,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-10 12:15:00,2026-03-10,london,buy,fvg_continuation,82.2,STRONG,True,[],5178.33,discount,bullish,True,55.97,80.7,23.69784,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-10 12:20:00,2026-03-10,london,buy,fvg_continuation,79.7,STRONG,True,[],5180.15,discount,bullish,True,48.58,80.7,23.69784,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-10 12:25:00,2026-03-10,london,buy,fvg_continuation,79.5,STRONG,True,[],5176.55,discount,bullish,True,48.58,80.7,23.69784,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
